#timestamp	milliseconds	requestsNumber	Failures	All_ms	min_ms	max_ms	avg_ms
2018-11-29T12:31:05.978+0200	1543487465978	4	0.0	1107	423	1107	898.0
2018-11-29T12:31:07.086+0200	1543487467086	4	0.0	817	603	817	743.75
2018-11-29T12:31:07.905+0200	1543487467905	4	0.0	764	483	763	662.5
2018-11-29T12:31:08.671+0200	1543487468671	4	0.0	850	815	848	835.5
2018-11-29T12:31:09.523+0200	1543487469523	4	0.0	815	755	814	795.75
2018-11-29T12:31:10.340+0200	1543487470340	4	0.0	787	703	787	764.0
2018-11-29T12:31:11.128+0200	1543487471128	4	0.0	950	857	948	911.0
2018-11-29T12:31:12.079+0200	1543487472079	4	0.0	811	756	809	795.75
2018-11-29T12:31:12.890+0200	1543487472890	4	0.0	881	448	881	659.5
2018-11-29T12:31:13.772+0200	1543487473772	4	0.0	772	594	771	693.75
2018-11-29T12:31:14.547+0200	1543487474547	4	0.0	760	686	760	740.25
2018-11-29T12:31:15.308+0200	1543487475308	4	0.0	907	885	906	899.5
2018-11-29T12:31:16.216+0200	1543487476216	4	0.0	762	711	761	738.5
2018-11-29T12:31:16.979+0200	1543487476979	5	0.0	1132	1049	1131	1073.4
2018-11-29T12:31:18.112+0200	1543487478112	5	0.0	948	903	947	929.4
2018-11-29T12:31:19.061+0200	1543487479061	5	0.0	982	839	980	945.2
2018-11-29T12:31:20.045+0200	1543487480045	5	0.0	1061	865	1061	906.4
2018-11-29T12:31:21.107+0200	1543487481107	5	0.0	1040	910	1038	1002.6
2018-11-29T12:31:22.148+0200	1543487482148	5	0.0	1013	883	1012	977.8
2018-11-29T12:31:23.165+0200	1543487483165	5	0.0	1060	870	1059	1015.6
2018-11-29T12:31:24.227+0200	1543487484227	5	0.0	1146	1057	1146	1116.2
2018-11-29T12:31:25.374+0200	1543487485374	5	0.0	798	688	797	762.0
2018-11-29T12:31:26.173+0200	1543487486173	5	0.0	1218	721	1217	853.8
2018-11-29T12:31:27.392+0200	1543487487392	5	0.0	1193	632	1192	867.4
2018-11-29T12:31:28.585+0200	1543487488585	5	0.0	915	805	914	887.4
2018-11-29T12:31:29.501+0200	1543487489501	5	0.0	948	812	947	899.2
2018-11-29T12:31:30.450+0200	1543487490450	5	0.0	1171	583	1170	793.8
2018-11-29T12:31:31.622+0200	1543487491622	5	0.0	961	669	961	859.0
2018-11-29T12:31:32.584+0200	1543487492584	5	0.0	1099	1073	1098	1086.2
2018-11-29T12:31:33.684+0200	1543487493684	5	0.0	956	819	956	899.8
2018-11-29T12:31:34.641+0200	1543487494641	5	0.0	993	450	991	767.6
2018-11-29T12:31:35.635+0200	1543487495635	5	0.0	887	860	886	878.6
2018-11-29T12:31:36.523+0200	1543487496523	5	0.0	2169	1118	2168	1451.6
2018-11-29T12:31:38.693+0200	1543487498693	6	0.0	4436	635	4435	2777.5
2018-11-29T12:31:43.130+0200	1543487503130	6	0.0	1821	1221	1820	1461.6666666666667
2018-11-29T12:31:44.952+0200	1543487504952	6	0.0	6759	886	6758	2412.8333333333335
2018-11-29T12:31:51.712+0200	1543487511712	6	0.0	4517	550	4516	1545.8333333333333
2018-11-29T12:31:56.230+0200	1543487516230	6	0.0	6040	865	6039	2290.3333333333335
2018-11-29T12:32:02.271+0200	1543487522271	6	0.0	2290	801	2289	1505.6666666666667
2018-11-29T12:32:04.562+0200	1543487524562	6	0.0	1782	944	1780	1310.3333333333333
2018-11-29T12:32:06.345+0200	1543487526345	6	0.0	6742	872	6740	2744.0
2018-11-29T12:32:13.088+0200	1543487533088	6	0.0	3426	821	3426	1955.8333333333333
2018-11-29T12:32:16.516+0200	1543487536516	6	0.0	1474	779	1474	1015.5
2018-11-29T12:32:17.991+0200	1543487537991	6	0.0	2008	383	2006	1385.6666666666667
2018-11-29T12:32:20.001+0200	1543487540001	6	0.0	1959	609	1957	1199.0
2018-11-29T12:32:21.961+0200	1543487541961	6	0.0	2405	538	2403	1338.1666666666667
2018-11-29T12:32:24.367+0200	1543487544367	6	0.0	1915	687	1914	1241.8333333333333
2018-11-29T12:32:26.283+0200	1543487546283	6	0.0	4712	476	4711	1801.0
2018-11-29T12:32:30.997+0200	1543487550997	6	0.0	1701	1141	1697	1345.6666666666667
2018-11-29T12:32:32.700+0200	1543487552700	6	0.0	1727	504	1726	1185.3333333333333
2018-11-29T12:32:34.427+0200	1543487554427	6	0.0	1657	1233	1657	1461.6666666666667
2018-11-29T12:32:36.086+0200	1543487556086	6	0.0	1764	431	1763	1121.0
2018-11-29T12:32:37.851+0200	1543487557851	6	0.0	1448	517	1447	954.0
2018-11-29T12:32:39.301+0200	1543487559301	7	0.0	1563	595	1562	1153.2857142857142
2018-11-29T12:32:40.865+0200	1543487560865	7	0.0	2066	467	2061	1194.142857142857
2018-11-29T12:32:42.932+0200	1543487562932	7	0.0	1488	525	1486	1042.142857142857
2018-11-29T12:32:44.422+0200	1543487564422	7	0.0	2626	839	2625	1274.0
2018-11-29T12:32:47.049+0200	1543487567049	7	0.0	2075	672	2074	1230.2857142857142
2018-11-29T12:32:49.126+0200	1543487569126	7	0.0	1406	705	1404	1004.5714285714286
2018-11-29T12:32:50.533+0200	1543487570533	7	0.0	1174	732	1173	994.8571428571429
2018-11-29T12:32:51.707+0200	1543487571707	7	0.0	1189	659	1188	935.1428571428571
2018-11-29T12:32:52.898+0200	1543487572898	7	0.0	1041	459	1037	785.8571428571429
